name,marla,area_sqft,floor_number,total_floors,built_year,address,description,floor,floors_in_building,bedrooms,bathrooms,kitchens,servant_quarters,store_rooms,price,society,luxury_score,drawing_room,dining_room,lounge_or_sitting_room,laundry_room,study_room,prayer_room,powder_room,gym,steam_room,other_rooms
"3 BHK Bahria Town - Jinnah Block, Bahria Town - Sector E, Bahria Town, Lahore, Punjab",5.8,1579.05,,,2025.0,"Bahria Town - Jinnah Block, Bahria Town - Sector E, Bahria Town, Lahore, Punjab",Book Fully Furnished Three Bed Apartment On 20% Down Payment In Sky Square 3 Years Installment Plan Fully Furnished Get You Apartment Now For Buy And More Info Call Us On Given Number,,,2.0,2.0,1.0,1.0,1.0,4700000,Bahria Town,133,1,1,1,1,1,1,1,1,1,1
#NAME?,1.4,381.15,9.0,,2025.0,"Midway Commercial, Bahria Town, Lahore, Punjab","Experience luxury living at Grand 11, a prestigious high-rise development in Bahria Town, Pakistans most sought-after community, known for its world-class infrastructure, security, and modern lifestyle. This Studio apartment offers breathtaking views. Apartment Features: -> A spacious bedroom with large windows for abundant natural light and scenic views. -> A modern kitchen with high-quality fittings and ample storage. -> A stylish living area with a Terrace offering panoramic Views. -> Premium finishes and high-end materials ensuring a sophisticated lifestyle. Amenities of Grand 11: -> Rooftop Garden Enjoy relaxing outdoor spaces with panoramic views. -> Fully Equipped Gym Stay fit with state-of-the-art fitness facilities. -> Fine Dining & Cafe Experience top-tier dining options within the building. -> High-Speed Passenger & Cargo Lifts Ensuring smooth access across floors. -> 24/7 Security & CCTV Monitoring A safe and secure environment. -> Dedicated Parking Hassle-free parking spaces for residents. -> High-Speed Internet & Smart Access Control Seamless connectivity and security. -> Kids' Play Area & Daycare A family-friendly space for children. -> Room Service & Housekeeping Premium hospitality services for residents. Developed by Landmark Developers working in Bahria Town since 2011, a trusted name in real estate with over 13 successful projects, Grand 11 is built with precision and high-end materials, ensuring superior quality and long-term value. Located at a prime location, this project offers luxurious living with top-tier amenities, making it an ideal choice for residence and investment.",9.0,,1.0,1.0,1.0,1.0,1.0,5652000,Bahria Town,134,1,1,0,0,1,1,0,0,0,1
"1 BHK Bahria Town - Johar Block, Bahria Town - Sector E, Bahria Town, Lahore, Punjab",2.2,598.95,6.0,,,"Bahria Town - Johar Block, Bahria Town - Sector E, Bahria Town, Lahore, Punjab","Experience Luxury Living At The Grand lifestyle Grand 15, A Prestigious High-Rise Development In Bahria Town, Pakistan's Most Sought-After Community, Known For Its World-Class Infrastructure, Security, And Modern Lifestyle. This One-Bedroom Apartment Offers Breathtaking Views Of The Fountains, Eiffel Tower, And Lush Park, Providing An Unparalleled Ambiance Of Elegance And Serenity. Apartment Features: - A Spacious Bedroom With Large Windows For Abundant Natural Light And Scenic Views. - A Modern Kitchen With High-Quality Fittings And Ample Storage. - A Stylish Living Area With A Terrace Offering Panoramic Eiffel And Fountains Views. - Premium Finishes And High-End Materials Ensuring A Sophisticated Lifestyle. Amenities At The Grand lifestyle Grand 15: - Rooftop Garden Enjoy Relaxing Outdoor Spaces With Panoramic Views. - Infinity Swimming Pool A Luxurious Pool With Stunning Surroundings. - Fully Equipped Gym Stay Fit With State-Of-The-Art Fitness Facilities. - Fine Dining &Amp Cafe Experience Top-Tier Dining Options Within The Building. - High-Speed Passenger &Amp Cargo Lifts Ensuring Smooth Access Across Floors. - 24/7 Security &Amp CCTV Monitoring A Safe And Secure Environment. - Dedicated Parking Hassle-Free Parking Spaces For Residents. - High-Speed Internet &Amp Smart Access Control Seamless Connectivity And Security. - Kids' Play Area &Amp Daycare A Family-Friendly Space For Children. - Room Service &Amp Housekeeping Premium Hospitality Services For Residents. Developed By Landmark Developers Working In Bahria Town Since 2011, A Trusted Name In Real Estate With Over 13 Successful Projects, The Grandlifestyle Grand 15 Is Built With Precision And High-End Materials, Ensuring Superior Quality And Long-Term Value. Located At A Prime Location, This Project Offers Luxurious Living With Top-Tier Amenities, Making It An Ideal Choice For Residence And Investment.",6.0,,1.0,1.0,1.0,,,8000000,Bahria Town,123,0,0,0,0,0,0,0,0,0,0
"1 BHK Bahria Town - Johar Block, Bahria Town - Sector E, Bahria Town, Lahore, Punjab",2.2,598.95,6.0,,,"Bahria Town - Johar Block, Bahria Town - Sector E, Bahria Town, Lahore, Punjab","Experience Luxury Living At The Grand lifestyle Grand 15, A Prestigious High-Rise Development In Bahria Town, Pakistan's Most Sought-After Community, Known For Its World-Class Infrastructure, Security, And Modern Lifestyle. This One-Bedroom Apartment Offers Breathtaking Views Of The Fountains, Eiffel Tower, And Lush Park, Providing An Unparalleled Ambiance Of Elegance And Serenity. Apartment Features: - A Spacious Bedroom With Large Windows For Abundant Natural Light And Scenic Views. - A Modern Kitchen With High-Quality Fittings And Ample Storage. - A Stylish Living Area With A Terrace Offering Panoramic Eiffel And Fountains Views. - Premium Finishes And High-End Materials Ensuring A Sophisticated Lifestyle. Amenities At The Grand lifestyle Grand 15: - Rooftop Garden Enjoy Relaxing Outdoor Spaces With Panoramic Views. - Infinity Swimming Pool A Luxurious Pool With Stunning Surroundings. - Fully Equipped Gym Stay Fit With State-Of-The-Art Fitness Facilities. - Fine Dining &Amp Cafe Experience Top-Tier Dining Options Within The Building. - High-Speed Passenger &Amp Cargo Lifts Ensuring Smooth Access Across Floors. - 24/7 Security &Amp CCTV Monitoring A Safe And Secure Environment. - Dedicated Parking Hassle-Free Parking Spaces For Residents. - High-Speed Internet &Amp Smart Access Control Seamless Connectivity And Security. - Kids' Play Area &Amp Daycare A Family-Friendly Space For Children. - Room Service &Amp Housekeeping Premium Hospitality Services For Residents. Developed By Landmark Developers Working In Bahria Town Since 2011, A Trusted Name In Real Estate With Over 13 Successful Projects, The Grandlifestyle Grand 15 Is Built With Precision And High-End Materials, Ensuring Superior Quality And Long-Term Value. Located At A Prime Location, This Project Offers Luxurious Living With Top-Tier Amenities, Making It An Ideal Choice For Residence And Investment.",6.0,,1.0,1.0,1.0,,,8000000,Bahria Town,123,0,0,0,0,0,0,0,0,0,0
"1 BHK Bahria Town - Sector F, Bahria Town, Lahore, Punjab",1.2,326.7,1.0,5.0,2028.0,"Bahria Town - Sector F, Bahria Town, Lahore, Punjab",1 Bed Stodio Apartment Available For Sale Facing Eiffel Hot Location Parking Park For Walk Furnished And Non Furnished Luxury Near Commercial Grosser Store Market,1.0,5.0,1.0,1.0,1.0,,,4200000,Bahria Town,131,1,1,1,1,1,1,0,0,1,1
"1 BHK Bahria Town - Sector E, Bahria Town, Lahore, Punjab",2.4,653.4,,,2025.0,"Bahria Town - Sector E, Bahria Town, Lahore, Punjab","We have something special in store for you when we say that you should definitely buy this property. You can find Flat at a price of PKR Rs. 7000000 easily. 550 Square Feet property with practical features can be hard to come by, so make the most of this offer today. The market conditions in Lahore suggest that you make an investment move right away. Bahria Town - Sector E Lahore is developing at a relatively fast pace, making it a great investment opportunity. You won't find Flat like this too often. So, it's better to beat the clock before someone else grabs it up for comfort. What more this property has to tell you is written below. The Flat has facilities for the differently-abled that helps them to navigate the space easily. ATM machines are installed within the gated community in the commercial centre for ease of residents. Your body pain can vanish, with a quick session in the Jacuzzi. The Flat has a kids play area so no more having to worry about your kids' safety. The clothes, curtains and blankets that you may not be able to wash yourself can easily be dry cleaned at the dry clean facility nearby. Vigilant security staff is on duty round the clock to ensure the safety of the residents. There is a community lawn at a walking distance from the Flat. No matter what your property queries are, contact us to get the best answers.",,,1.0,1.0,1.0,1.0,1.0,7000000,Bahria Town,124,1,1,1,1,1,1,1,1,1,1
"1 BHK Bahria Town - Sector E, Bahria Town, Lahore, Punjab",2.4,653.4,,,,"Bahria Town - Sector E, Bahria Town, Lahore, Punjab","High-end apartment unit for sale is available in Bahria Town - Sector E that might be better suited to your requirements. Buy a Flat from an investment point of view in Lahore and enjoy later. For a convenient and community-oriented lifestyle, Bahria Town - Sector E is perfect. Your investment in 550 Square Feet property will definitely pay off later. You can find abundant options for sale or rent in Lahore. A price of PKR Rs. 7500000 is a reasonable demand for a property this spacious. Following are some of the notable features of this property. Your search for a furnished Flat ends with this beautifully decorated property. Broadband internet access to facilitate you daily. For the ultimate luxury experience, the property also has a sauna for a healthier and relaxed state of body and mind. All security concerns are taken into account with the availability of 24/7 security services. The ATM machines are a promising feature of the building among others. The community swimming pool offers a good opportunity for kids' activity. You can enjoy your alone-time while the kids play in the play area near the property. If you have more questions, call us.",,,1.0,1.0,1.0,,,7500000,Bahria Town,94,0,0,0,0,0,0,0,0,0,0
"1 BHK Bahria Town - Sector E, Bahria Town, Lahore, Punjab",2.7,735.075,,8.0,2026.0,"Bahria Town - Sector E, Bahria Town, Lahore, Punjab","Discover An Exceptional Investment Opportunity In Riwaq Heights, Ideally Located At Plot 22, Iqbal Commercial, Just Steps Away From The Iconic Clock Tower In Bahria Town Lahore. This 1 Bed Luxury Apartment Offers Modern Living With Unbeatable Access To Bahrias Prime Attractions And Commercial Hotspots. Situated Facing Main Boulevard And Close To Theme Park, This Property Ensures Maximum Convenience With Seamless Connectivity To Ring Road, Providing Effortless Travel Across Lahore. Enjoy Walking Distance Access To Major Landmarks Including The Grand Mosque, Clock Tower, Theme Park, Eiffel Tower, Imtiaz Mall, SQ99 Mall, Attock Petrol Pump, Finegold Cinema, Winterland, Canal Road, And Jasmine Grand Mall. Riwaq Heights Features Premium Commercial Shops And One-Bed Luxury Apartments, Offering Both Residential Comfort And Strong Rental Yield Potential. This 1-Bed Unit Is Available For 80 Lac, With An Attractive Down Payment Of Just 16 Lac, Making It Ideal For End-Users As Well As Investors. Project Marketed By Tower Real Estate &Amp Builders.",,8.0,1.0,1.0,1.0,,,8000000,Bahria Town,130,0,0,0,0,0,0,0,0,0,0
#NAME?,1.6,435.6,,6.0,2025.0,"Bahria Town - Sector E, Bahria Town, Lahore, Punjab","A well-maintained studio / one bedroom fully furnished apartment available for sale in a prime location of Bahria Town Lahore. Perfect for personal living or as a high-return investment option. The apartment features a tastefully furnished living space, comfortable bedroom, modern bathroom, and a functional kitchen, equipped with quality fittings. Located close to commercial areas, schools, markets, parks, and all essential facilities, offering a convenient and secure lifestyle. Situated in a peaceful and well-developed environment with excellent access to main roads. A ready-to-move-in apartment ideal for both end users and investors. Contact now for more details or a viewing appointment.",,6.0,1.0,1.0,1.0,1.0,1.0,5500000,Bahria Town,133,1,1,1,1,1,1,1,1,1,1
"1 BHK Bahria Town - Nishtar Block, Bahria Town - Sector E, Bahria Town, Lahore, Punjab",3.1,843.975,2.0,9.0,2020.0,"Bahria Town - Nishtar Block, Bahria Town - Sector E, Bahria Town, Lahore, Punjab","A well-designed 1 bedroom apartment located in a prime and secure area of Bahria Town Lahore, ideal for comfortable living or smart investment. The apartment features a spacious bedroom with attached bathroom, a bright living area, and a modern open-style kitchen with quality fittings. Thoughtfully planned interiors, stylish flooring, and ample natural light create a pleasant living environment. The building offers a clean and well-maintained atmosphere with lift access and security arrangements. Situated close to commercial areas, parks, restaurants, and other essential amenities, this apartment provides convenience, comfort, and excellent value in one of Lahores most sought-after communities.",2.0,9.0,2.0,2.0,1.0,1.0,1.0,7000000,Bahria Town,64,1,1,1,1,1,1,1,1,1,1
"1 BHK Bahria Town - Block DD, Bahria Town - Sector D, Bahria Town, Lahore, Punjab",2.2,598.95,3.0,5.0,2020.0,"Bahria Town - Block DD, Bahria Town - Sector D, Bahria Town, Lahore, Punjab","1 Bedroom Furnished Apartment For Sale inDD Block Bahria Town Lahore 100% Attachment Pics Original. Bedroom with Attached Bath Tv Lounge Kitchen Wardrobe Tv Sofa Set Bedset with Side Tables Demand 65 Lac Final Residential Meter Installed Floor 3rd 500Sqft Covered Area Lift 24 Hours Available Block DD Sector D Bahria Town Lahore Location Near Canal Road. . . Visit any time We Deal in Buying, Selling & Renting of all Types of Residential & Commercial Properties. For More Info Please Call",3.0,5.0,1.0,1.0,1.0,,,6500000,Bahria Town,91,0,0,1,0,0,0,0,0,0,0
"2 BHK Bahria Town - Iqbal Block, Bahria Town - Sector E, Bahria Town, Lahore, Punjab",3.1,843.975,2.0,6.0,2024.0,"Bahria Town - Iqbal Block, Bahria Town - Sector E, Bahria Town, Lahore, Punjab","2 Bedrooms Furnished Apartment on 2nd Floor For Sale in Iqbal Block Bahria Town Lahore 100% Attachment Pics Original Bedrooms with Attached Baths Tv Lounge Kitchen 2nd Floor ( Front view) Lift 24 Hours 700 Sqft ( Net Area ) 3 Inverter Ac Installed Fridge Microwave Smart Android Tv Sofa Set 2 Electric Geyser Bedset with side tables Automatic Washing Machine Residential Meter Installed Demand 1 Crore 50 Lac Visit any time We Deal in Buying, Selling & Renting of all Types of Residential & Commercial Properties. For More Info Please Call",2.0,6.0,2.0,2.0,1.0,1.0,1.0,15000000,Bahria Town,92,1,1,1,1,1,1,1,0,0,0
"2 BHK Bahria Town - Sector C, Bahria Town, Lahore, Punjab",4.0,1089.0,,,2024.0,"Bahria Town - Sector C, Bahria Town, Lahore, Punjab","Look no further for properties, as Flat has it all. Living in Lahore can be a dream come true so start looking for property options today. In Bahria Town - Sector C, you can enjoy some great locational benefits. If this Flat matches your requirement, you can purchase it at Rs. 14000000.900 Square Feet property is the best option for investment, so take a decision today. The property you yearned to buy is finally available. Find out the basic features of the property below. You can enjoy your alone-time while the kids play in the play area near the property. Residents have peace of mind knowing they can access ATM Machines within their complex. Differently-abled people will find this Flat easy to navigate, as it is developed to incorporate their needs. Not to worry if you cannot wash loads of clothes, as there is a laundry nearby. The property has an outdoor pool where one can swim to their heart's content. Enjoy fast speed broadband internet access available in the property. The mosque nearby provides a peaceful place for prayer and contemplation. For the best property advice, give us a call today.",,,2.0,2.0,1.0,1.0,1.0,14000000,Bahria Town,128,1,1,1,1,1,1,1,1,1,1
"2 BHK Bahria Town - Sector E, Bahria Town, Lahore, Punjab",3.6,980.1,2.0,6.0,2025.0,"Bahria Town - Sector E, Bahria Town, Lahore, Punjab",2 BED FULLY FURNISHED APARTMENT FOR SALE IN BAHRIA TOWN LAHORE,2.0,6.0,2.0,2.0,2.0,,,13000000,Bahria Town,115,0,0,0,0,0,0,0,0,0,0
"1 BHK Bahria Town - Sector C, Bahria Town, Lahore, Punjab",1.8,490.05,1.0,6.0,2022.0,"Bahria Town - Sector C, Bahria Town, Lahore, Punjab","Beautifully maintained 1 Bed Apartment available for sale in the heart of Bahria Town. Perfect option for living or investment with a steady monthly rental income. Sale Demand: PKR 55 Lac (Negotiable) Rental Income: PKR 35,000 / Month Maintenance Charges: PKR 3,000 / Month Apartment Features: 1 Spacious Bedroom 1 Modern Bathroom Huge Fully Equipped Kitchen Totally Tiled Flooring Separate Electricity Meter Parking Space Available Ready to Move No Work Required Ideal for Families, Working Professionals & Females Bahria Town Facilities: 24/7 Security & Electricity Gated Community Near Eiffel Tower, Theme Park & Grand Jamia Masjid Close to Safari Mall, Cineplex, McDonalds & Food Courts 15 mins from Ring Road Interchange / Allama Iqbal Airport",1.0,6.0,1.0,1.0,1.0,1.0,1.0,5300000,Bahria Town,140,1,1,1,1,1,1,1,1,1,1
"1 BHK Bahria Town - Johar Block, Bahria Town - Sector E, Bahria Town, Lahore, Punjab",2.2,598.95,6.0,11.0,,"Bahria Town - Johar Block, Bahria Town - Sector E, Bahria Town, Lahore, Punjab","1-Bed Luxury Apartment Pre-Launch Offer: Step into luxury living with GrandLifestyle Grand 15 in Bahria Town Lahore. Own a 1-bed apartment at a reasonable price tag under a limited-time pre-launch offer. An ideal blend of comfort, lifestyle, and investment! Nearby Landmarks: Bahria Adventure Theme Park Imtiaz Mall Eiffel Tower & Dancing Fountains Talwar Chowk Multiple malls & commercial hubs Amenities include: Rooftop garden & BBQ area Swimming pool, spa & sauna Kids play area & daycare Gym & fitness center 24/7 electricity, internet & security Fine dining & room service Limited units | Pre-launch exclusive pricing | High ROI with prime location",6.0,11.0,1.0,1.0,1.0,1.0,1.0,8000000,Bahria Town,134,1,1,1,1,1,1,1,1,1,1
"1 BHK Bahria Town - Johar Block, Bahria Town - Sector E, Bahria Town, Lahore, Punjab",2.2,598.95,6.0,11.0,,"Bahria Town - Johar Block, Bahria Town - Sector E, Bahria Town, Lahore, Punjab","Experience Luxury Living At The Oasis Grand 14, A Prestigious High-Rise Development In Bahria Town, Pakistans Most Sought-After Community, Known For Its World-Class Infrastructure, Security, And Modern Lifestyle. This One-Bedroom Apartment Offers Breathtaking Views Of The Fountains, Eiffel Tower, And Lush Park, Providing An Unparalleled Ambiance Of Elegance And Serenity. Apartment Features: - A Spacious Bedroom With Large Windows For Abundant Natural Light And Scenic Views. - A Modern Kitchen With High-Quality Fittings And Ample Storage. - A Stylish Living Area With A Terrace Offering Panoramic Eiffel And Fountains Views. - Premium Finishes And High-End Materials Ensuring A Sophisticated Lifestyle. Amenities At The Oasis Grand 14: - Rooftop Garden Enjoy Relaxing Outdoor Spaces With Panoramic Views. - Infinity Swimming Pool A Luxurious Pool With Stunning Surroundings. - Fully Equipped Gym Stay Fit With State-Of-The-Art Fitness Facilities. - Fine Dining &Amp Cafe Experience Top-Tier Dining Options Within The Building. - High-Speed Passenger &Amp Cargo Lifts Ensuring Smooth Access Across Floors. - 24/7 Security &Amp CCTV Monitoring A Safe And Secure Environment. - Dedicated Parking Hassle-Free Parking Spaces For Residents. - High-Speed Internet &Amp Smart Access Control Seamless Connectivity And Security. - Kids' Play Area &Amp Daycare A Family-Friendly Space For Children. - Room Service &Amp Housekeeping Premium Hospitality Services For Residents. Developed By Landmark Developers Working In Bahria Town Since 2011, A Trusted Name In Real Estate With Over 13 Successful Projects, The Oasis Grand 14 Is Built With Precision And High-End Materials, Ensuring Superior Quality And Long-Term Value. Located At A Prime Location, This Project Offers Luxurious Living With Top-Tier Amenities, Making It An Ideal Choice For Residence And Investment.",6.0,11.0,1.0,1.0,1.0,,,8500000,Bahria Town,120,0,0,0,0,0,0,0,0,0,0
